City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Roma,US,87.66,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
264,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
266,Mao,ES,79.36,few clouds,39.8885,4.2658,ARTIEM Capri
269,Sao Jose Da Coroa Grande,BR,75.02,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
272,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
277,Buala,SB,78.06,light rain,-8.145,159.5921,Maringe Lagoon Lodge
280,Heze,CN,74.43,light rain,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
281,Ormara,PK,80.17,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
283,Yavatmal,IN,78.58,overcast clouds,20.4,78.1333,Palash Inn
284,Sampit,ID,74.89,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
286,Pajapan,MX,86.16,overcast clouds,18.25,-94.7,Hotel Del Carmen
287,Katsuura,JP,80.62,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
295,Manali,IN,86.09,scattered clouds,13.1667,80.2667,Sarathy Lodge
297,Port Blair,IN,82.02,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
299,Nagaur,IN,87.44,overcast clouds,27.2,73.7333,Ranvas Nagaur
305,Linhares,BR,70.72,overcast clouds,-19.3911,-40.0722,Hotel Conceição
311,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
318,Teahupoo,PF,76.96,few clouds,-17.8333,-149.2667,Vanira Lodge
319,San Quintin,MX,73.89,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
323,Morant Bay,JM,87.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
325,Paracuru,BR,86.02,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
330,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
332,Amanganj,IN,74.93,light rain,24.4333,80.0333,Matki Choraha
339,Mozarlandia,BR,87.1,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
340,Catuday,PH,80.37,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
342,Yining,CN,76.89,broken clouds,29.0361,114.5636,Xiushui Hotel
344,Ono,JP,78.26,clear sky,34.85,134.9333,オーラ 小野店
347,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
348,Rabak,SD,79.81,overcast clouds,13.1809,32.74,فندق ربك Rabak Hotel
350,Coahuayana,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
352,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
354,Sechura,PE,75.65,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
356,Yarada,IN,82.72,mist,17.65,83.2667,Jeevan
358,North Branch,US,73.85,moderate rain,45.5113,-92.9802,AmericInn by Wyndham North Branch
359,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
360,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
364,Taos,US,85.73,clear sky,36.4072,-105.5731,El Monte Sagrado
365,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
367,Lorengau,PG,80.08,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
368,Sumenep,ID,79.39,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
369,Shizukuishi,JP,73.72,overcast clouds,39.6833,140.9833,Hotel Taikan
371,Moroto,UG,71.94,scattered clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
372,Golden,US,84.25,smoke,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
375,Methoni,GR,83.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
378,Bay Roberts,CA,78.55,overcast clouds,47.5999,-53.2648,Stonewall Inn
379,Karachi,PK,82.22,broken clouds,24.9056,67.0822,Sadaat
381,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
384,Los Llanos De Aridane,ES,71.35,few clouds,28.6585,-17.9182,Valle Aridane
386,Guaruja,BR,80.2,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
391,Bandarbeyla,SO,75.43,clear sky,9.4942,50.8122,JABIR HOTEL
393,Alibag,IN,82.47,scattered clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
395,Luanda,AO,73.4,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
397,Chipiona,ES,75.38,clear sky,36.7366,-6.437,Al Sur De Chipiona
398,Carupano,VE,83.39,scattered clouds,10.6678,-63.2585,Hotel La dorada
399,Luganville,VU,76.15,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
400,Lethem,GY,86.13,moderate rain,3.3803,-59.7968,Savannah Inn
401,Puerto Leguizamo,CO,82.18,overcast clouds,-0.1934,-74.7819,la casona de juancho
402,Payo,ID,73.31,few clouds,-3.7508,103.6372,Mess keban agung
403,Oranjestad,AW,89.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
404,Eganville,CA,79.34,overcast clouds,45.5334,-77.0994,Egan Inn
405,Samarai,PG,77.38,overcast clouds,-10.6167,150.6667,Nuli Sapi
407,Ponta Do Sol,PT,76.71,broken clouds,32.6667,-17.1,Hotel do Campo
411,Pathein,MM,78.46,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
413,Camacha,PT,71.53,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
414,Wuda,CN,79.93,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
415,Gizo,SB,81.32,broken clouds,-8.103,156.8419,Imagination Island
417,Souillac,MU,71.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
418,Benguela,AO,71.98,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
419,Bima,ID,73.33,overcast clouds,-8.4667,118.7167,Lambitu Hotel
421,Mozirje,SI,76.46,overcast clouds,46.3394,14.9633,Guest House Kmetija Žagar
427,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
431,Xiaoweizhai,CN,73.26,overcast clouds,26.1903,107.5125,Karst Youth Hostel
433,Laguna De Perlas,NI,86.09,overcast clouds,12.3429,-83.6712,Hotel Best View
435,Broome,US,87.1,clear sky,42.2506,-75.833,Chenango Valley State Park
437,Mercedes,AR,80.85,clear sky,-34.6515,-59.4307,Posada del Inti Centro
438,Hobyo,SO,76.37,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
439,Izumo,JP,78.75,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
441,Katobu,ID,73.35,overcast clouds,-4.9408,122.5276,La Ode Husein
445,Dhidhdhoo,MV,83.03,overcast clouds,6.8833,73.1,Dhidhoo beach
447,Kasongo,CD,77.83,overcast clouds,-4.45,26.6667,Guest Hôtel
452,Nishihara,JP,78.46,thunderstorm,26.1842,127.7558,Minshuku Agaihama
453,Virginia Beach,US,79.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
454,Tiffin,US,87.82,few clouds,41.1145,-83.178,"Holiday Inn Express Tiffin, an IHG Hotel"
456,Hachinohe,JP,73.98,overcast clouds,40.5,141.5,Hachinohe Grand Hotel
457,The Valley,AI,89.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
458,Sambava,MG,70.45,light rain,-14.2667,50.1667,Melrose
463,Haapiti,PF,82.13,few clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
465,Djambala,CG,77.2,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
466,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
467,Morehead,US,88.3,scattered clouds,37.2711,-87.1764,CCI Express Inn
471,Nabire,ID,74.55,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
473,Rio Grande,BR,80.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
475,Camacari,BR,71.37,broken clouds,-12.6975,-38.3242,Hotel Cambuci
476,Aquiraz,BR,86.09,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
477,Forestville,US,77.68,moderate rain,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
478,Dolores,AR,72.39,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
479,Tutoia,BR,85.98,clear sky,-2.7619,-42.2744,Pousada Guará's
480,Porto Torres,IT,80.78,clear sky,40.835,8.3972,Hotel Elisa
482,Conselice,IT,88.14,scattered clouds,44.5119,11.8312,agriturismo del merlo
484,Khachrod,IN,73.72,overcast clouds,23.4167,75.2833,Dhakad Dharmshala
487,Le Vauclin,MQ,87.93,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
488,Bamako,ML,73.81,thunderstorm with light rain,12.65,-8.0,Hôtel l’Amitié Bamako
489,Celestun,MX,86.63,scattered clouds,20.8667,-90.4,Posada Lilia
490,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
491,Fukue,JP,82.54,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
493,Panzhihua,CN,72.77,overcast clouds,26.5851,101.7128,Electric Power Hotel
494,Manokwari,ID,77.23,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
495,Surab,PK,76.51,broken clouds,28.4914,66.2585,Bismillah Hotel
496,Cap Malheureux,MU,71.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
499,Coronel Fabriciano,BR,71.64,clear sky,-19.5186,-42.6289,Panorama Convention Hotel
500,Zhenhai,CN,79.48,overcast clouds,24.2582,118.0905,In Zhijian Guesthouse
501,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
502,Saint-Leu,RE,70.63,clear sky,-21.15,55.2833,La Caz Oceane
503,Bay City,US,85.1,scattered clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
504,Banjar,ID,80.46,scattered clouds,-8.19,114.9675,The Hamsa Resort
512,Sayan,PE,75.18,clear sky,-11.1361,-77.1933,Hotel Restaurant Vanessa
514,Clarksville,US,89.85,few clouds,36.5298,-87.3595,Riverview Inn
515,Cayenne,GF,85.08,mist,4.9333,-52.3333,Hôtel Le Dronmi
526,Bardiyah,LY,79.36,clear sky,31.7561,25.0865,بورتو بردية
528,Aloleng,PH,81.84,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
529,Trairi,BR,81.27,broken clouds,-3.2778,-39.2689,janelas do mar
532,Danville,US,80.65,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
534,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
535,Bar Harbor,US,87.35,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
542,Sao Gabriel Da Cachoeira,BR,87.6,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
544,Asfi,MA,71.1,broken clouds,32.2994,-9.2372,Hôtel Abda
547,Fos-Sur-Mer,FR,71.65,clear sky,43.4377,4.9446,Ariane Hotel
548,Miri,MY,77.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
554,Koungou,YT,71.31,clear sky,-12.7336,45.2042,Villa Netibor
561,Makaha,US,84.11,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
562,Tual,ID,80.31,broken clouds,-5.6667,132.75,Grand Vilia Hotel
563,Pizarro,CO,81.07,broken clouds,4.9533,-77.366,Hotel Limonar
565,Mae Sai,TH,76.32,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
566,Marion,US,88.56,broken clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
568,Pacific Grove,US,86.81,few clouds,36.6177,-121.9166,Lovers Point Inn
569,Lumajang,ID,73.83,overcast clouds,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
576,Rocha,UY,71.73,clear sky,-34.4833,-54.3333,Beleza Pura B&B
578,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
582,Mayo,US,77.68,moderate rain,38.8876,-76.5119,Resorts Resource Group International
584,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
586,Bandiagara,ML,84.85,scattered clouds,14.3501,-3.6104,Hotel de la Falaise
589,Kamaishi,JP,77.04,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
595,Jerantut,MY,75.63,moderate rain,3.936,102.3626,Jerantut Hill Resort
596,Tezu,IN,77.32,overcast clouds,27.9167,96.1667,Circuit House
599,Naze,JP,80.04,heavy intensity rain,28.3667,129.4833,Amami Port Tower Hotel
603,Dongsheng,CN,74.32,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
605,Surt,LY,82.13,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
610,Bintulu,MY,79.21,light rain,3.1667,113.0333,900 Boutique INN
611,Palmer,US,87.73,broken clouds,42.1584,-72.3287,Wedgewood Motel
612,Stettler,CA,74.95,clear sky,52.3168,-112.7186,Ramada by Wyndham Stettler
613,Pishin,PK,79.11,clear sky,30.5803,66.9961,City Hotel Pishin
614,Binzhou,CN,71.04,light rain,37.3667,118.0167,Hampton By Hilton Binzhou
615,Kazanskaya,RU,76.48,light rain,45.4106,40.4361,Gostinitsa Kavkaz
617,Ingham,US,86.16,clear sky,42.6,-84.3833,Sunset Place
620,Grand-Santi,GF,80.31,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
621,Eston,CA,78.69,broken clouds,51.1501,-108.7514,Hearthside Place B&B
623,Severnyy,RU,71.64,clear sky,50.677,36.5532,Full House North Mini-Hotel
630,Bocas Del Toro,PA,88.07,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
631,Sola,VU,78.35,overcast clouds,-13.8833,167.55,Leumerus Bungalows
632,Aguimes,ES,72.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
633,Marsaxlokk,MT,84.07,clear sky,35.8419,14.5431,Water's Edge
635,Carutapera,BR,79.11,broken clouds,-1.195,-46.02,Lidera
637,Port-Gentil,GA,75.16,light rain,-0.7193,8.7815,Fengshui Residence
640,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
641,Nzerekore,GN,73.74,overcast clouds,7.7562,-8.8179,Hotel de la Gare & Germanho Club
643,Douglas,US,82.22,thunderstorm,41.3,-96.167,Hilton Garden Inn Omaha West
644,Bela,IN,79.45,overcast clouds,25.9333,81.9833,Raj Bhawan
650,Mabay,PH,75.42,moderate rain,6.0577,124.4666,Bautista Lodging House
652,Saint-Jean-Port-Joli,CA,76.8,overcast clouds,47.2171,-70.2658,Motel Blanche d'Haberville
654,Crotone,IT,74.93,clear sky,39.0851,17.1178,Helios Hotel
655,Lamu,KE,73.62,few clouds,-2.2717,40.902,Lamu House
656,Shache,CN,78.91,overcast clouds,38.4167,77.2406,Delong Hotel
657,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
658,Canchungo,GW,86.07,broken clouds,12.0672,-16.0333,Aparthotel Napalach
660,Santa Maria,BR,81.7,clear sky,-29.6842,-53.8069,Hotel Morotin
661,Shiraz,IR,80.04,scattered clouds,29.6036,52.5388,Kowsar Hotel
662,Itarema,BR,81.37,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
664,Prokopion,GR,81.1,clear sky,38.7333,23.4833,Candili
667,Birjand,IR,75.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
668,Balaguer,ES,78.76,overcast clouds,41.7912,0.8109,Hotel Balaguer
669,Keshabpur,BD,80.92,overcast clouds,22.9183,89.2112,MD. Anwar Hossain
671,Malakal,SS,73.0,overcast clouds,9.5334,31.6605,Nile Palace Hotel
