City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Cabo San Lucas,MX,2021-08-02 21:19:45,22.8909,-109.9124,101.8,49,75,17.27
110,Bambous Virieux,MU,2021-08-02 21:19:03,-20.3428,57.7575,59.25,88,20,8.05
111,Margate,GB,2021-08-02 21:21:08,51.3813,1.3862,62.04,73,100,1.01
112,Busselton,AU,2021-08-02 21:17:47,-33.65,115.3333,54.1,76,100,7.31
113,Odweyne,SO,2021-08-02 21:21:23,9.4092,45.064,71.89,56,2,17.58
114,Tiarei,PF,2021-08-02 21:21:23,-17.5333,-149.3333,82.42,73,96,14.38
115,San Antonio,US,2021-08-02 21:20:36,29.4241,-98.4936,89.62,74,20,0.0
116,Orangeburg,US,2021-08-02 21:21:24,33.4918,-80.8557,92.77,50,1,8.05
117,Ribeira Grande,PT,2021-08-02 21:21:15,38.5167,-28.7,73.36,92,44,7.87
118,Ponta Do Sol,PT,2021-08-02 21:21:24,32.6667,-17.1,74.01,75,10,7.4
119,Santa Isabel Do Rio Negro,BR,2021-08-02 21:20:24,-0.4139,-65.0192,82.63,62,62,1.81
120,Lorengau,PG,2021-08-02 21:17:29,-2.0226,147.2712,81.46,80,18,8.19
121,Cape Town,ZA,2021-08-02 21:20:25,-33.9258,18.4232,57.11,92,0,2.3
122,Sao Filipe,CV,2021-08-02 21:21:25,14.8961,-24.4956,76.6,82,33,5.44
123,Kruisfontein,ZA,2021-08-02 21:19:17,-34.0033,24.7314,49.89,94,0,5.86
124,San Patricio,US,2021-08-02 21:21:25,28.017,-97.5169,97.52,35,23,7.16
125,Lagoa,PT,2021-08-02 21:20:49,39.05,-27.9833,72.34,90,3,5.23
126,Alice Springs,AU,2021-08-02 21:19:04,-23.7,133.8833,40.55,48,0,4.61
127,Salinas,US,2021-08-02 21:17:24,36.6777,-121.6555,88.99,59,1,16.11
128,Nome,US,2021-08-02 21:21:26,64.5011,-165.4064,58.15,88,90,18.41
129,Alyangula,AU,2021-08-02 21:21:26,-13.8483,136.4192,62.47,100,75,2.3
130,Tyup,KG,2021-08-02 21:21:26,42.7276,78.3648,58.77,53,100,3.36
131,Fare,PF,2021-08-02 21:17:21,-16.7,-151.0167,79.32,72,68,16.28
132,Khatanga,RU,2021-08-02 21:21:27,71.9667,102.5,62.94,64,74,9.95
133,Vallenar,CL,2021-08-02 21:21:27,-28.5708,-70.7581,76.95,28,0,5.28
134,Contamana,PE,2021-08-02 21:21:27,-7.3333,-75.0167,89.11,33,4,5.17
135,Port Elizabeth,ZA,2021-08-02 21:18:42,-33.918,25.5701,57.49,82,75,12.66
136,Hazorasp,UZ,2021-08-02 21:17:53,41.3194,61.0742,75.04,17,0,11.05
137,Cockburn Town,TC,2021-08-02 21:17:57,21.4612,-71.1419,81.9,77,100,16.53
138,Airai,TL,2021-08-02 21:19:28,-8.9266,125.4092,55.51,79,62,3.42
139,Bay Roberts,CA,2021-08-02 21:21:28,47.5999,-53.2648,69.51,65,100,4.0
140,Khovu-Aksy,RU,2021-08-02 21:21:28,51.1333,93.6,51.51,66,5,3.94
141,Komsomolskiy,UZ,2021-08-02 21:21:28,40.4272,71.7189,74.62,53,98,4.61
142,Nikolskoye,RU,2021-08-02 21:21:29,59.7035,30.7861,63.39,99,100,5.32
143,Tabou,CI,2021-08-02 21:21:29,4.423,-7.3528,76.06,80,13,6.69
144,Lata,PT,2021-08-02 21:20:33,40.1629,-8.3327,68.04,85,18,3.49
145,Upernavik,GL,2021-08-02 21:21:29,72.7868,-56.1549,46.98,67,14,1.88
146,Khani,GE,2021-08-02 21:21:30,41.9563,42.9566,67.57,89,26,3.76
147,Orlik,RU,2021-08-02 21:21:13,52.5178,99.825,45.43,93,100,1.88
148,Mogadishu,SO,2021-08-02 21:21:30,2.0371,45.3438,76.06,84,80,17.9
149,Hay River,CA,2021-08-02 21:21:30,60.8156,-115.7999,81.86,35,0,5.08
150,Namatanai,PG,2021-08-02 21:21:31,-3.6667,152.4333,79.21,82,24,6.46
151,Mar Del Plata,AR,2021-08-02 21:18:07,-38.0023,-57.5575,56.08,59,0,5.01
152,Aracuai,BR,2021-08-02 21:21:31,-16.8497,-42.0703,70.2,46,88,7.16
153,Saint-Philippe,RE,2021-08-02 21:21:31,-21.3585,55.7679,66.22,68,15,1.92
154,Maryborough,AU,2021-08-02 21:21:31,-25.5333,152.7,58.5,99,25,3.91
155,Ozernovskiy,RU,2021-08-02 21:19:12,51.5,156.5167,49.41,83,97,12.75
156,Iqaluit,CA,2021-08-02 21:19:54,63.7506,-68.5145,51.53,93,75,4.0
157,Elat,IL,2021-08-02 21:21:32,29.5581,34.9482,89.44,35,0,0.0
158,Itoman,JP,2021-08-02 21:21:32,26.1247,127.6694,80.98,96,40,11.5
159,Ust-Nera,RU,2021-08-02 21:21:33,64.5667,143.2,54.27,49,0,4.92
160,Sinnamary,GF,2021-08-02 21:17:20,5.3833,-52.95,79.83,83,54,8.28
161,Alofi,NU,2021-08-02 21:19:26,-19.0595,-169.9187,76.89,73,40,11.5
162,Gamba,GA,2021-08-02 21:21:33,-2.65,10.0,73.96,86,70,4.18
163,Cayenne,GF,2021-08-02 21:21:33,4.9333,-52.3333,84.24,78,52,1.01
164,Cobija,BO,2021-08-02 21:21:34,-11.0267,-68.7692,88.92,21,1,4.56
165,Katherine,AU,2021-08-02 21:21:34,-14.4667,132.2667,64.72,68,72,3.44
166,San Quintin,MX,2021-08-02 21:21:34,30.4833,-115.95,79.11,56,2,14.54
167,Chalus,IR,2021-08-02 21:21:35,36.655,51.4204,76.46,83,75,4.61
168,Richards Bay,ZA,2021-08-02 21:20:11,-28.783,32.0377,64.31,83,93,3.94
169,Saldanha,ZA,2021-08-02 21:21:35,-33.0117,17.9442,55.45,74,0,6.15
170,Amahai,ID,2021-08-02 21:21:35,-3.3333,128.9167,77.5,88,33,2.71
171,Codrington,AU,2021-08-02 21:21:35,-38.2667,141.9667,42.03,94,100,9.19
172,Sayat,TM,2021-08-02 21:16:48,38.7839,63.8803,78.67,13,0,10.4
173,Thompson,CA,2021-08-02 21:17:12,55.7435,-97.8558,77.16,47,20,5.75
174,Jijiang,CN,2021-08-02 21:21:36,29.2906,106.2542,86.59,72,0,2.15
175,Poronaysk,RU,2021-08-02 21:21:36,49.2167,143.1167,60.06,80,0,4.14
176,Aswan,EG,2021-08-02 21:21:37,24.0934,32.907,96.1,13,0,3.44
177,Chara,RU,2021-08-02 21:21:37,56.9064,118.2631,52.41,81,75,1.9
178,Victoria,HK,2021-08-02 21:17:27,22.2855,114.1577,85.32,89,100,1.01
179,Flinders,AU,2021-08-02 21:21:37,-34.5833,150.8552,57.38,88,86,1.01
180,Praia Da Vitoria,PT,2021-08-02 21:20:13,38.7333,-27.0667,76.75,88,75,6.73
181,Dalby,AU,2021-08-02 21:21:38,-27.1833,151.2667,60.98,93,99,1.01
182,Tuktoyaktuk,CA,2021-08-02 21:21:38,69.4541,-133.0374,50.0,87,90,9.22
183,Visby,SE,2021-08-02 21:21:38,57.6409,18.296,61.02,77,75,11.5
184,Hambantota,LK,2021-08-02 21:21:38,6.1241,81.1185,78.76,82,100,18.07
185,Aloleng,PH,2021-08-02 21:21:39,16.1307,119.7824,81.88,85,100,21.97
186,Souillac,MU,2021-08-02 21:21:20,-20.5167,57.5167,59.38,88,20,8.05
187,Leningradskiy,RU,2021-08-02 21:20:02,69.3833,178.4167,32.85,99,100,11.12
188,Yellowknife,CA,2021-08-02 21:17:12,62.456,-114.3525,90.12,25,75,9.22
189,Christiana,ZA,2021-08-02 21:21:39,-27.914,25.1611,48.7,27,0,6.51
190,La Ronge,CA,2021-08-02 21:19:24,55.1001,-105.2842,86.25,25,75,1.14
191,Letlhakane,BW,2021-08-02 21:21:40,-21.4167,25.5833,56.66,23,0,6.2
192,Vaitape,PF,2021-08-02 21:21:35,-16.5167,-151.75,79.54,73,48,16.11
193,Itarema,BR,2021-08-02 21:21:40,-2.9248,-39.9167,78.93,69,6,10.36
194,San Matias,BO,2021-08-02 21:21:41,-16.3667,-58.4,86.63,25,0,6.46
195,Rodeo,US,2021-08-02 21:18:07,38.033,-122.2669,94.93,52,1,1.01
196,Avarua,CK,2021-08-02 21:21:41,-21.2078,-159.775,77.05,88,90,9.22
197,Grand Gaube,MU,2021-08-02 21:21:42,-20.0064,57.6608,59.4,61,0,3.58
198,Seguela,CI,2021-08-02 21:21:42,7.9611,-6.6731,76.44,68,99,3.0
199,Sabang,ID,2021-08-02 21:19:25,5.8933,95.3214,82.38,75,99,21.0
200,Narsaq,GL,2021-08-02 21:21:42,60.9167,-46.05,53.82,81,93,5.08
201,Mayo,US,2021-08-02 21:20:53,38.8876,-76.5119,83.8,58,20,3.0
202,Takoradi,GH,2021-08-02 21:21:43,4.8845,-1.7554,77.22,83,45,8.01
203,Mayna,RU,2021-08-02 21:21:43,54.1135,47.6231,69.57,68,28,6.85
204,Castro,BR,2021-08-02 21:19:26,-24.7911,-50.0119,53.31,81,0,2.8
205,Faanui,PF,2021-08-02 21:21:44,-16.4833,-151.75,79.45,73,45,16.35
206,Carnarvon,AU,2021-08-02 21:20:26,-24.8667,113.6333,46.47,46,0,11.5
207,Burriana,ES,2021-08-02 21:21:44,39.889,-0.085,78.1,70,64,1.12
208,Nouadhibou,MR,2021-08-02 21:19:15,20.931,-17.0347,69.78,83,57,14.97
209,Lompoc,US,2021-08-02 21:21:44,34.6391,-120.4579,94.69,65,1,14.97
210,East London,ZA,2021-08-02 21:21:45,-33.0153,27.9116,59.76,76,79,16.78
211,San Policarpo,PH,2021-08-02 21:21:45,12.1791,125.5072,81.64,79,100,9.66
212,Broken Hill,AU,2021-08-02 21:19:54,-31.95,141.4333,42.26,87,6,14.5
213,Padang,ID,2021-08-02 21:21:45,-0.9492,100.3543,75.25,84,100,3.8
214,Mount Gambier,AU,2021-08-02 21:20:05,-37.8333,140.7667,43.56,92,84,7.45
215,Saint-Joseph,RE,2021-08-02 21:21:46,-21.3667,55.6167,65.21,67,7,2.55
216,Ilanskiy,RU,2021-08-02 21:21:46,56.2358,96.065,55.02,89,37,5.48
217,Karratha,AU,2021-08-02 21:21:47,-20.7377,116.8463,59.76,25,6,16.87
218,Vestmannaeyjar,IS,2021-08-02 21:21:47,63.4427,-20.2734,52.79,93,75,6.91
219,Tautira,PF,2021-08-02 21:21:47,-17.7333,-149.15,82.42,75,100,15.64
220,Ialibu,PG,2021-08-02 21:21:48,-6.2821,143.9935,57.83,98,100,2.08
221,Port Hardy,CA,2021-08-02 21:21:48,50.6996,-127.4199,64.58,68,75,5.75
222,Shiyan,CN,2021-08-02 21:21:49,32.6475,110.7781,77.99,85,94,4.21
223,Antofagasta,CL,2021-08-02 21:17:47,-23.65,-70.4,58.28,67,1,4.27
224,Kaitangata,NZ,2021-08-02 21:18:50,-46.2817,169.8464,46.92,64,100,9.64
225,Westport,US,2021-08-02 21:21:49,41.1415,-73.3579,82.38,47,1,1.99
226,Goundam,ML,2021-08-02 21:21:50,16.4145,-3.6708,94.19,36,42,7.31
227,Borovoy,RU,2021-08-02 21:21:50,55.4333,86.0833,61.88,82,40,4.47
228,Berlevag,NO,2021-08-02 21:21:50,70.8578,29.0864,48.15,76,0,0.0
229,Yerbogachen,RU,2021-08-02 21:19:23,61.2767,108.0108,61.59,69,100,2.42
230,Dauriya,RU,2021-08-02 21:21:51,49.9333,116.8667,60.66,68,100,6.13
231,Deulgaon Raja,IN,2021-08-02 21:21:51,20.0167,76.0333,73.54,82,100,11.79
232,Uusikaupunki,FI,2021-08-02 21:17:17,60.8004,21.4084,59.52,87,97,10.11
